"","leg_party","leg_republican","leg_black","leg_latino","reply_atall","treat_deshawn","treat_demprimary","treat_repprimary","treat_noprimary","treat_group","treat_jake","leg_notwhite","leg_white","leg_notblackotherminority","treat_primary"
"282","D",0,0,1,1,0,1,0,0,5,1,1,0,1,1
"283","D",0,0,0,0,0,0,0,1,0,1,1,0,1,0
"284","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"285","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"286","D",0,0,1,0,0,0,0,1,0,1,1,0,1,0
"287","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"288","D",0,0,1,1,1,0,0,1,6,0,1,0,1,0
"289","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"290","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"291","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"292","D",0,0,1,1,1,1,0,0,4,0,1,0,1,1
"293","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"294","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"295","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"296","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"297","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"298","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"299","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"300","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"301","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"302","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"303","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"304","D",0,0,1,0,1,0,0,1,6,0,1,0,1,0
"305","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"306","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"307","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"308","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"309","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"310","D",0,0,1,0,0,0,0,1,0,1,1,0,1,0
"311","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"312","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"313","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"314","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"315","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"316","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"317","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"318","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"319","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"320","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"321","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"322","D",0,0,1,0,0,0,1,0,3,1,1,0,1,1
"323","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"324","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"325","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"326","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"327","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"328","D",0,0,1,1,1,0,1,0,2,0,1,0,1,1
"329","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"330","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"331","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"332","D",0,0,1,0,0,0,0,1,0,1,1,0,1,0
"333","D",0,0,0,0,0,1,0,0,5,1,1,0,1,1
"334","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"335","D",0,0,1,0,0,1,0,0,5,1,1,0,1,1
"336","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"337","D",0,0,1,0,0,0,1,0,3,1,1,0,1,1
"338","R",1,0,1,1,0,0,1,0,3,1,1,0,1,1
"339","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"340","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"341","D",0,0,1,0,0,0,0,1,0,1,1,0,1,0
"342","R",1,0,0,0,0,1,0,0,5,1,1,0,1,1
"343","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"344","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"345","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"346","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"347","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"348","D",0,0,0,0,0,0,0,1,0,1,1,0,1,0
"349","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"350","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"351","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"352","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"353","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"354","D",0,0,1,1,0,1,0,0,5,1,1,0,1,1
"355","D",0,0,1,0,0,1,0,0,5,1,1,0,1,1
"356","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"357","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"358","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"359","D",0,1,0,1,1,1,0,0,4,0,1,0,0,1
"360","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"361","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"362","R",1,0,0,1,1,0,0,1,6,0,1,0,1,0
"363","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"364","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"365","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"366","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"367","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"368","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"369","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"370","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"371","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"372","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"373","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"374","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"375","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"376","D",0,0,1,1,1,0,0,1,6,0,1,0,1,0
"377","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"378","D",0,0,0,0,1,0,1,0,2,0,1,0,1,1
"379","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"380","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"381","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"382","D",0,0,1,0,0,1,0,0,5,1,1,0,1,1
"383","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"384","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"385","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"386","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"387","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"388","D",0,0,1,1,1,1,0,0,4,0,1,0,1,1
"389","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"390","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"391","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"392","D",0,1,0,1,1,0,0,1,6,0,1,0,0,0
"393","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"394","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"395","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"396","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"397","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"398","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"399","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"400","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"401","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"402","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"403","D",0,0,1,0,1,0,1,0,2,0,1,0,1,1
"404","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"405","D",0,0,1,0,1,1,0,0,4,0,1,0,1,1
"406","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"407","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"408","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
